五华区	0
昆明	1
官渡区	2
西山区	3
呈贡区	4
盘龙区	5
东川区	6
晋宁区	7
凤庆凤山公园	8
临沧	9
翁丁原始部落	10
晋宁盘龙寺	11
青华海	12
保山	13
昆明寻甸红军长征柯渡纪念馆	14
孟定班幸独树成林风景区	15
耿马县	16
茶博园	17
耿马南汀画院	18
畹町边关文化园	19
德宏	20
斗南花市	21
鱼塘寨彝族剪纸传习所	22
红河	23
云南驿景区	24
大理	25
红河马帮古城	26
茈碧湖	27
汪柴主微笑博物馆	28
迪庆奔子栏子锅庄传习馆	29
迪庆	30
瑞丽一寨两国	31
云峰山	32
大理古城景区	33
楚雄市吕合文化博物馆	34
楚雄	35
英雄老山圣地	36
文山	37
大姚白塔公园	38
泸沽湖	39
丽江	40
石屏县博物馆	41
立景阁	42
旗山	43
开远彝族传统花灯传习所	44
民族博物馆	45
热海景区	46
野生动物园	47
云县滇缅铁路遗址园	48
石月亮景区	49
怒江	50
石门关	51
滇缅铁路遗址园	52
西畴国家石漠公园	53
白塔	54
张家花园	55
怒江州博物馆	56
贡山县	57
穆夏新艺术运动先锋	58
元江世界第一高桥	59
玉溪	60
滇红第一村	61
藏经堂	62
建水县博物馆	63
弥勒可邑小镇	64
傈僳族瓦器器传习中心	65
南几洛景区	66
白水台景区	67
香格里拉	68
丫沙底瀑布温泉	69
天生桥景区	70
湖泉半山温泉	71
整董小镇	72
普洱	73
思小高速公路景区	74
西双版纳	75
个旧市博物馆	76
盘龙寺	77
十里樱花	78
妈妈制造扎染体验	79
南美拉祜族文化传习馆	80
银都水乡新华村	81
高黎贡山植物园	82
墨香古城	83
红河县博物馆	84
汤谷	85
西畴县	86
巍山古城	87
汤谷旅游区	88
悦莲庄园	89
国殇墓园	90
映月潭温泉	91
公园1903梦幻联邦乐园	92
北岳庙	93
沧源葫芦小镇	94
云南陆军讲武堂历史博物馆	95
晋宁郑和公园	96
龙润大龙潭	97
朵拉萌宠乐园	98
仙佛洞	99
崇圣寺三塔	100
泸江公园	101
尼汝藏族传统文化生态保护传习馆	102
月亮湾湿地公园	103
澄江县	104
抚仙湖禄充景区	105
昆明旅游索道	106
玉溪市红塔区聂耳故居纪念馆	107
红塔	108
建水古城小火车	109
磨皮彝族花鼓文化传习馆	110
云南师范大学西南联大博物馆	111
五华	112
弥勒市城市规划展览馆	113
弥勒	114
邵女坪旅游度假小镇	115
昭通	116
黄草岭	117
腾冲原乡栖花岭	118
彝王故里滇中名镇	119
芒玉大峡谷	120
和顺柏联温泉	121
异龙湖景区	122
广南县坝美世外桃源旅游景区	123
高山乌龙茶景区	124
云南大学校史馆	125
富源多乐原	126
曲靖	127
玉龙雪山滑翔伞飞行营地	128
玉龙县	129
原始森林公园	130
昆脱	131
山海洞	132
昆明融创滇池后海	133
会泽雨碌大地缝	134
云南人家	135
袋鼠王蹦床公园	136
易门龙泉公园	137
十里荷花	138
束河古镇	139
秘境谷森林小镇	140
景迈山茶林文化景区	141
建水紫陶小镇	142
艾思奇故居	143
腾冲	144
袁嘉古旧居陈列馆	145
同盟会河口起义纪念馆	146
河口县	147
大理白族自治州博物馆	148
普洱西盟勐梭龙潭	149
乃古石林	150
蒙自市碧色寨	151
红河白龙洞风景区	152
东山景区	153
亿壕城堡温泉酒店	154
独克宗古城	155
东巴万神园	156
不可思议发泄屋	157
松林藏香非遗传承馆	158
小哨野生菌生态村	159
罗平鲁布革三峡	160
孟连宣抚司署	161
望天树景区	162
香格里拉大峡谷	163
那柯里茶马驿站	164
边寨喊沙风景区	165
宁蒗彝族自治县博物馆	166
石林冰雪海洋世界	167
茶马古镇	168
新化古州野林	169
怒江州志伟民俗博物馆	170
松山景区	171
七彩梦乡麦地冲	172
大理上关花景区	173
昆明市杏林大观园	174
独克宗花巷	175
怒江山水之道	176
怒江傈僳族自治	177
红河蒙自南湖公园	178
牡露侬人谷	179
东竹林寺	180
青龙峡景区	181
野象谷	182
红河谷绿汁江恐龙峡谷漂流体验	183
凤庆锦绣茶尊胜地	184
腾冲来凤山森林公园	185
香巴拉时轮坛城	186
山谷立体花园	187
